"sound.files","start","end","counts","duration","rate","minute"
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 110.wav",120,180,0,60,0,3
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 110.wav",180,240,0,60,0,4
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 110.wav",240,300,0,60,0,5
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 110.wav",300,300.77747,0,0.777469999999994,0,6
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 id 127.wav",0,60,0,60,0,1
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 id 127.wav",60,120,0,60,0,2
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 id 127.wav",120,180,1,60,0.0166666666666667,3
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 id 127.wav",180,240,0,60,0,4
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 id 127.wav",240,300,1,60,0.0166666666666667,5
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 id 127.wav",300,300.67917,0,0.679169999999999,0,6
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-51-17_0000005 id 128.wav",0,60,0,60,0,1
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-51-17_0000005 id 128.wav",60,120,0,60,0,2
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-51-17_0000005 id 128.wav",120,180,0,60,0,3
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-51-17_0000005 id 128.wav",180,240,0,60,0,4
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-51-17_0000005 id 128.wav",240,300,0,60,0,5
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-51-17_0000005 id 128.wav",300,300.67917,0,0.679169999999999,0,6
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav",0,60,0,60,0,1
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav",60,120,1,60,0.0166666666666667,2
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav",120,180,23,60,0.383333333333333,3
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav",180,240,61,60,1.01666666666667,4
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav",240,300,62,60,1.03333333333333,5
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav",300,360,49,60,0.816666666666667,6
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav",360,420,56,60,0.933333333333333,7
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav",420,480,55,60,0.916666666666667,8
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav",480,540,29,60,0.483333333333333,9
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav",540,600,31,60,0.516666666666667,10
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav",600,660,36,60,0.6,11
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav",660,720,22,60,0.366666666666667,12
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav",720,780,11,60,0.183333333333333,13
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav",780,840,36,60,0.6,14
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav",840,900,51,60,0.85,15
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav",900,960,55,60,0.916666666666667,16
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav",960,1020,10,60,0.166666666666667,17
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav",1020,1054.34317,15,34.3431700000001,0.436768067711861,18
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav",0,60,1,60,0.0166666666666667,1
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav",60,120,0,60,0,2
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav",120,180,132,60,2.2,3
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav",180,240,248,60,4.13333333333333,4
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav",240,300,269,60,4.48333333333333,5
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav",300,360,186,60,3.1,6
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav",360,420,211,60,3.51666666666667,7
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav",420,480,178,60,2.96666666666667,8
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav",480,540,155,60,2.58333333333333,9
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav",540,600,96,60,1.6,10
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav",600,660,102,60,1.7,11
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav",660,720,189,60,3.15,12
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav",720,780,153,60,2.55,13
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav",780,840,134,60,2.23333333333333,14
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav",840,900,103,60,1.71666666666667,15
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav",900,960,148,60,2.46666666666667,16
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav",960,1020,115,60,1.91666666666667,17
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav",1020,1040.90829,20,20.9082900000001,0.956558379475315,18
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav",0,60,11,60,0.183333333333333,1
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav",60,120,40,60,0.666666666666667,2
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav",120,180,136,60,2.26666666666667,3
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav",180,240,182,60,3.03333333333333,4
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav",240,300,104,60,1.73333333333333,5
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav",300,360,60,60,1,6
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav",360,420,78,60,1.3,7
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav",420,480,33,60,0.55,8
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav",480,540,72,60,1.2,9
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav",540,600,56,60,0.933333333333333,10
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav",600,660,47,60,0.783333333333333,11
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav",660,720,47,60,0.783333333333333,12
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav",720,780,23,60,0.383333333333333,13
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav",780,840,34,60,0.566666666666667,14
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav",840,900,73,60,1.21666666666667,15
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav",900,960,68,60,1.13333333333333,16
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav",960,1020,52,60,0.866666666666667,17
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav",1020,1048.28109,25,28.2810899999999,0.883982901649125,18
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127.wav",0,60,36,60,0.6,1
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127.wav",60,120,37,60,0.616666666666667,2
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127.wav",120,180,37,60,0.616666666666667,3
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127.wav",180,240,27,60,0.45,4
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127.wav",240,300,22,60,0.366666666666667,5
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127.wav",300,360,28,60,0.466666666666667,6
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127.wav",360,420,10,60,0.166666666666667,7
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127.wav",420,480,12,60,0.2,8
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127.wav",480,540,3,60,0.05,9
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127.wav",540,600,18,60,0.3,10
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127.wav",600,660,14,60,0.233333333333333,11
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127.wav",660,720,6,60,0.1,12
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127.wav",720,780,5,60,0.0833333333333333,13
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127.wav",780,840,16,60,0.266666666666667,14
